"Subset","Detail"
"KDI_EXvsHFD","Hs3st3b1"
"KDI_EXvsHFD","Gm6505"
"KDI_EXvsHFD","Mrgprb1"
"KDI_EXvsHFD","Zfp992"
"KDI_EXvsHFD","Il1rl2"
"KDI_EXvsHFD","Lrrn4cl"
"KDI_EXvsHFD","Gm10369"
"KDI_EXvsHFD","Pappa2"
"KDI_EXvsHFD","Prob1"
"KDI_EXvsHFD","Omp"
"KDI_EXvsHFD","Gm10653"
"KDI_EXvsHFD","Gm4070"
"KDI_EXvsHFD","Gm14444"
"KDI_EXvsHFD","Ifi27l2a"
"KDI_EXvsHFD","Cd209g"
"KDI_EXvsHFD","Gm21981"
"KDI_EXvsHFD","Gm7609"
"KDI_EXvsHFD","C920021L13Rik"
"KDI_EXvsHFD","Slc48a1"
"KDI_EXvsHFD","Gm12216"
"KDI_EXvsHFD","Gm15616"
"KDI_EXvsHFD","B430010I23Rik"
"KDI_EXvsHFD","Gm15567"
"KDI_EXvsHFD","Gm15635"
"KDI_EXvsHFD","BB218582"
"KDI_EXvsHFD","Gm13703"
"KDI_EXvsHFD","4930412C18Rik"
"KDI_EXvsHFD","Gm15943"
"KDI_EXvsHFD","Gm13710"
"KDI_EXvsHFD","4930458D05Rik"
"KDI_EXvsHFD","Gm16118"
"KDI_EXvsHFD","E130317F20Rik"
"KDI_EXvsHFD","9330111N05Rik"
"KDI_EXvsHFD","Tmem147os"
"KDI_EXvsHFD","Gm26583"
"KDI_EXvsHFD","Gm16675"
"KDI_EXvsHFD","Gm10614"
"KDI_EXvsHFD","Gm29084"
"KDI_EXvsHFD","Zbtb11os1"
"KDI_EXvsHFD","Gm37310"
"KDI_EXvsHFD","Gm10766"
"KDI_EXvsHFD","Gm37488"
"KDI_EXvsHFD","Ighd"
"KDI_EXvsHFD","Gm38244"
"KDI_EXvsHFD","Gm37509"
"KDI_EXvsHFD","Gm31305"
"KDI_EXvsHFD","Gm42611"
"KDI_EXvsHFD","Gm42528"
"KDI_EXvsHFD","Gm44439"
"KDI_EXvsHFD","Particl"
"KDI_EXvsHFD","Gm44850"
"KDI_EXvsHFD","2310043P16Rik"
"KDI_EXvsHFD","Dcst2"
"KDI_EXvsHFD","Gm35315"
"KDI_EXvsHFD","Gm2436"
"KDI_EXvsHFD","Gm36595"
"KDI_EXvsHFD","Gm21370"
"KDI_EXvsHFD","Eppk1"
"KDI_EXvsHFD","Gm49894"
"KDI_EXvsHFD","Gm7818"
"KDI_EXvsHFD","Gm33948"
"KDI_EXvsHFD","Gm50012"
"KDI_EXvsHFD","Gm50240"
"KDI_EXvsHFD","9630028I04Rik"
"DRvsHFD_EXvsHFD_KDIvsHFD","Bcas2"
"DRvsHFD_EXvsHFD_KDIvsHFD","Gm33111"
"DRvsHFD_EXvsHFD_KDIvsHFD","Magef1"
"EXvsHFD_KDIvsHFD","Tat"
"EXvsHFD_KDIvsHFD","Mzb1"
"EXvsHFD_KDIvsHFD","Ptx3"
"EXvsHFD_KDIvsHFD","S100a9"
"EXvsHFD_KDIvsHFD","Rxfp3"
"EXvsHFD_KDIvsHFD","Gm37469"
"EXvsHFD_KDIvsHFD","Gm42895"
"DRvsHFD_KDIvsHFD","Itgb2"
"DRvsHFD_KDIvsHFD","Dio2"
"DRvsHFD_KDIvsHFD","Aldh1a2"
"DRvsHFD_KDIvsHFD","Cd5l"
"DRvsHFD_KDIvsHFD","Ddit4"
"DRvsHFD_KDIvsHFD","Chodl"
"DRvsHFD_KDIvsHFD","Myo1f"
"DRvsHFD_KDIvsHFD","Arhgap25"
"DRvsHFD_KDIvsHFD","Slc37a2"
"DRvsHFD_KDIvsHFD","Car12"
"DRvsHFD_KDIvsHFD","Galnt9"
"DRvsHFD_KDIvsHFD","Mtss2"
"DRvsHFD_KDIvsHFD","Nos1ap"
"DRvsHFD_KDIvsHFD","Daglb"
"DRvsHFD_KDIvsHFD","Plppr4"
"DRvsHFD_KDIvsHFD","Gsg1l"
"DRvsHFD_KDIvsHFD","Col6a3"
"DRvsHFD_KDIvsHFD","Gm14461"
"DRvsHFD_KDIvsHFD","Palld"
"DRvsHFD_KDIvsHFD","Krt79"
"DRvsHFD_KDIvsHFD","Zfp957"
"DRvsHFD_KDIvsHFD","Ulbp1"
"DRvsHFD_KDIvsHFD","Ift88os"
"DRvsHFD_KDIvsHFD","Fmo6"
"DRvsHFD_KDIvsHFD","Gm18939"
"KDIvsHFD","Fap"
"KDIvsHFD","Dnmt3l"
"KDIvsHFD","Ykt6"
"KDIvsHFD","Grk5"
"KDIvsHFD","Matk"
"KDIvsHFD","Spo11"
"KDIvsHFD","Susd2"
"KDIvsHFD","Ctsd"
"KDIvsHFD","Elavl2"
"KDIvsHFD","Ccl8"
"KDIvsHFD","Bnip2"
"KDIvsHFD","Kif11"
"KDIvsHFD","Gata3"
"KDIvsHFD","Ada"
"KDIvsHFD","Cd68"
"KDIvsHFD","Ccl9"
"KDIvsHFD","Rab32"
"KDIvsHFD","Cabcoco1"
"KDIvsHFD","Dock2"
"KDIvsHFD","Pfkl"
"KDIvsHFD","Shc2"
"KDIvsHFD","Hmmr"
"KDIvsHFD","Pimreg"
"KDIvsHFD","Serpina3n"
"KDIvsHFD","Rab3c"
"KDIvsHFD","Slc4a7"
"KDIvsHFD","Nefl"
"KDIvsHFD","Adamdec1"
"KDIvsHFD","Dok2"
"KDIvsHFD","Cpne6"
"KDIvsHFD","Sdf2l1"
"KDIvsHFD","Galnt14"
"KDIvsHFD","Tapbp"
"KDIvsHFD","Mal2"
"KDIvsHFD","Slc15a3"
"KDIvsHFD","Gusb"
"KDIvsHFD","Col5a2"
"KDIvsHFD","Slc9a4"
"KDIvsHFD","Rgs1"
