"Subset","Detail","HFDvsSD_log2FoldChange","HFDvsSD_pvalue","KDvsSD_log2FoldChange","KDvsSD_pvalue","KDvsHFD_log2FoldChange","KDvsHFD_pvalue"
"HFDvsSD_KDvsHFD","Slc35e1",0.310880091817999,2.69675483314007e-05,NA,NA,-0.185245282097825,0.00916965112542103
"HFDvsSD_KDvsHFD","Slc1a4",0.522920161579215,0.00299613427894574,NA,NA,-0.622912097166271,0.000238496944479305
"HFDvsSD_KDvsHFD","Snhg16",-0.430891322083138,0.00324516000610933,NA,NA,0.399939544368439,0.00447797071748859
"HFDvsSD_KDvsHFD","0610010K14Rik",-0.340548915859707,0.000619543285547682,NA,NA,0.28490669983221,0.00291996801466449
"HFDvsSD_KDvsHFD","Sel1l",0.286442573181311,0.000253665762144442,NA,NA,-0.205499569986608,0.00640773678316488
"HFDvsSD_KDvsHFD","Adamdec1",-0.67356860175427,0.0068804214576734,NA,NA,0.656430542233022,0.00610775854066547
"HFDvsSD_KDvsHFD","Hr",0.348145321919096,0.00215245553252597,NA,NA,-0.358199678305678,0.00103861457445123
"HFDvsSD_KDvsHFD","Myo10",0.507755078107475,5.5040341934774e-05,NA,NA,-0.351009505897459,0.00375915582291272
"HFDvsSD_KDvsHFD","Fgf12",0.827565518163257,0.00490141253773557,NA,NA,-0.778013748812002,0.00572413048922597
"HFDvsSD_KDvsHFD","Muc13",2.01883067082042,0.00330201565982574,NA,NA,-2.39855025304471,0.000337893298928203
"HFDvsSD_KDvsHFD","Fetub",0.818891743709141,0.00361392114038382,NA,NA,-1.12950326876486,3.31519764194052e-05
"HFDvsSD_KDvsHFD","C3",0.566701964520058,0.00125173987767449,NA,NA,-0.533655318719667,0.00161291965042966
"HFDvsSD_KDvsHFD","Nedd4l",0.354638355917331,1.71665832222191e-05,NA,NA,-0.248107555504606,0.00173075823038487
"HFDvsSD_KDvsHFD","Tmem132a",0.562577921235737,0.00297021731982493,NA,NA,-0.696399258651426,0.000133395203165354
"HFDvsSD_KDvsHFD","Lipa",0.315156998291185,0.000392675322959644,NA,NA,-0.310966490864111,0.000279377546897016
"HFDvsSD_KDvsHFD","Vldlr",0.594317338780819,0.00354517807865913,NA,NA,-0.632438850192466,0.0012775376181738
"HFDvsSD_KDvsHFD","Gbf1",0.331843362867609,0.000559225360774391,NA,NA,-0.269794460007557,0.00353267926607383
"HFDvsSD_KDvsHFD","Atp10a",0.614830474326706,0.00275790843807687,NA,NA,-0.607675290111537,0.00211687675350458
"HFDvsSD_KDvsHFD","Inpp5a",0.209873326225558,0.000674301223467515,NA,NA,-0.197020705219299,0.000897120999968783
"HFDvsSD_KDvsHFD","Gaa",0.291622144203546,0.000145077533080974,NA,NA,-0.230937664374881,0.00176876966740543
"HFDvsSD_KDvsHFD","Ecrg4",1.20962999309715,0.0057330968526898,NA,NA,-1.16475870072592,0.00570810982975881
"HFDvsSD_KDvsHFD","Sctr",-1.40759933430468,0.000423581088014462,NA,NA,1.6348138897649,2.0827836247117e-05
"HFDvsSD_KDvsHFD","Tor1a",-0.214071543370882,0.00630180152200584,NA,NA,0.223570762849556,0.00295536847581274
"HFDvsSD_KDvsHFD","Map1a",0.481241813761961,1.61164448441334e-06,NA,NA,-0.353873018742873,0.000245686683240816
"HFDvsSD_KDvsHFD","Dennd2d",-0.822323120640408,0.00287733101122998,NA,NA,0.700658163086313,0.0084665564679821
"HFDvsSD_KDvsHFD","Tdo2",-0.903906515747162,0.00848613621044124,NA,NA,0.855156278499261,0.00975753093962388
"HFDvsSD_KDvsHFD","Czib",-0.309834698572444,0.00048573690701813,NA,NA,0.239009199990658,0.00520447297028854
"HFDvsSD_KDvsHFD","Sult1e1",-1.88874606178315,0.0098007280776751,NA,NA,2.01625394454542,0.0042636739904036
"HFDvsSD_KDvsHFD","Rbm28",0.355155558545093,0.00432964302877983,NA,NA,-0.483070778777203,5.62042326809288e-05
"HFDvsSD_KDvsHFD","Pcyox1",0.384364377649688,5.33247605210284e-05,NA,NA,-0.282138956443725,0.00206540532164207
"HFDvsSD_KDvsHFD","Ret",0.907023269611332,0.00110182780077664,NA,NA,-0.890362402077763,0.000878975243308657
"HFDvsSD_KDvsHFD","Nomo1",0.311277948400043,0.000261362547116404,NA,NA,-0.237751742772742,0.0037604451256982
"HFDvsSD_KDvsHFD","Acsm3",-2.0184772144444,0.00116224012508184,NA,NA,2.31755411470562,0.000108787759859871
"HFDvsSD_KDvsHFD","Fgf13",1.40861528480463,0.0017209605011996,NA,NA,-2.00495173062539,3.80652792594003e-06
"HFDvsSD_KDvsHFD","Il13ra2",3.10910795418821,0.00130296088218226,NA,NA,-4.49065095511868,2.75929751635525e-05
"HFDvsSD_KDvsHFD","Adgrg2",-1.03073550574978,0.000479926117481965,NA,NA,1.36865919208406,1.44729379544082e-06
"HFDvsSD_KDvsHFD","Naa10",-0.278364903763031,0.00105062038251501,NA,NA,0.215456463245514,0.00840139420700275
"HFDvsSD_KDvsHFD","Col4a1",0.5337137925359,0.00047636221122413,NA,NA,-0.497585018634718,0.000724032089722822
"HFDvsSD_KDvsHFD","Col4a2",0.587347852710346,0.000543745332597763,NA,NA,-0.509698272086083,0.00184242017647043
"HFDvsSD_KDvsHFD","Ucp1",-4.88948754240642,0.00295158085037543,NA,NA,7.4377422463529,2.79819497632174e-06
"HFDvsSD_KDvsHFD","Gnao1",0.363317227986087,0.000118188420626474,NA,NA,-0.238337359188805,0.00829816347848448
"HFDvsSD_KDvsHFD","Mphosph6",-0.220908286162524,0.00524954926981767,NA,NA,0.199801761374892,0.00853119489881089
"HFDvsSD_KDvsHFD","Cyb5b",0.259550222756198,0.00333681373379911,NA,NA,-0.236057338699237,0.0055861077070331
"HFDvsSD_KDvsHFD","2310022B05Rik",0.315703521259121,2.78477843853e-06,NA,NA,-0.173955118263089,0.0071601634835864
"HFDvsSD_KDvsHFD","Bace1",0.256546341478887,0.00366938999122408,NA,NA,-0.230692034224984,0.00664301347285466
"HFDvsSD_KDvsHFD","Car12",1.5991080822229,0.00502801321556084,NA,NA,-2.19639991194402,8.76225145201243e-05
"HFDvsSD_KDvsHFD","Ttyh2",0.250408323605226,0.00511272058152032,NA,NA,-0.227115294243717,0.00828212823211366
"HFDvsSD_KDvsHFD","Nxnl1",-0.891441653201577,0.000674585836714065,NA,NA,0.906809601509407,0.000320479810722654
"HFDvsSD_KDvsHFD","Krt20",1.4305831392982,0.0051349706933432,NA,NA,-1.31340866848609,0.00741318495322193
"HFDvsSD_KDvsHFD","Gramd4",0.230060750819861,0.000294862249203617,NA,NA,-0.170236178628134,0.00520979291387802
"HFDvsSD_KDvsHFD","Slc9b2",0.812233372982442,0.00782158755651225,NA,NA,-0.81521126353804,0.0054417109591731
"HFDvsSD_KDvsHFD","Trp53inp2",1.29978450502714,3.29041541303783e-05,NA,NA,-1.32156231510455,1.17820834874522e-05
"HFDvsSD_KDvsHFD","Nos1ap",0.95097142316212,6.36159425806797e-05,NA,NA,-0.834965348290384,0.000217861216317047
